Time;Open;High;Low;Close;Volume
27-8-2019;184.2;186;180.4;182.8;70
28-8-2019;182.9;185;162.9;169.8;88
29-8-2019;168.7;170.4;159.7;164.7;71
30-8-2019;164.8;166.3;161.7;165;42
1-9-2019;166.4;168.4;166.2;167.1;6
2-9-2019;167.2;178.6;166.5;175.5;82
3-9-2019;175.7;179.9;171.3;174.9;90
4-9-2019;175;177.4;169.9;170.8;84
5-9-2019;171.8;172.7;166.4;169.8;73
6-9-2019;171;175.5;162;165.7;75
8-9-2019;176.1;179.2;175.6;178.5;7
9-9-2019;178.4;183.1;172;177.5;93
10-9-2019;176.5;181.5;172.6;176.7;80
11-9-2019;176.5;179.2;170.8;174.2;81
12-9-2019;174.3;179.7;172.4;178;57
13-9-2019;177.9;178.7;173.7;177.9;60
15-9-2019;185.1;187.2;184.3;185.2;8
16-9-2019;185.2;196.5;184.5;193.5;87
17-9-2019;194.7;212.1;192;204.8;113
18-9-2019;204.9;214.3;203.7;206.1;118
19-9-2019;206.1;221.4;198.4;217.8;133
20-9-2019;216.7;219.1;209;213.1;105
22-9-2019;204.3;209.2;203.4;208.1;14
23-9-2019;208.2;208.6;195.1;198;119
24-9-2019;196.9;199.5;151.3;163.3;234
25-9-2019;163.2;172;158.7;165.9;186
26-9-2019;165.9;167.9;149.2;162.9;150
27-9-2019;161.8;168.7;157.4;168;96
29-9-2019;164.4;169;164.2;165.2;14
30-9-2019;165.2;178.7;161.2;177.8;129
1-10-2019;178.1;182.8;170.5;173;153
2-10-2019;172;178.5;170.1;177.8;85
3-10-2019;177.9;178.2;166.7;172;93
4-10-2019;170.9;176.5;167.2;174.2;77
6-10-2019;166.9;168.3;164.3;167;11
7-10-2019;165;179.5;164.6;177.3;112
8-10-2019;176.2;182.2;173.2;177.7;112
9-10-2019;176.7;192.9;175.3;190.2;119
10-10-2019;190.1;191.8;184;188.7;99
11-10-2019;187.7;194.5;176.5;178.8;110
13-10-2019;176.4;179.2;176.1;178;10
14-10-2019;177;184.8;176.5;183.8;84
15-10-2019;183.9;185.4;173.8;176.4;95
16-10-2019;176.4;178.1;168.4;171.5;86
17-10-2019;171.4;176;168.6;174.2;85
18-10-2019;174.3;174.4;165.3;170;82
20-10-2019;170.9;172.9;170.3;171.4;8
21-10-2019;172.4;175;167.9;171.2;72
22-10-2019;170.2;172.4;166.7;168.2;75
23-10-2019;168.3;168.4;150.4;159.3;124
24-10-2019;159.4;160.9;155.2;156.5;83
25-10-2019;156.4;184.5;156.4;178;127
27-10-2019;182.5;185.3;179.6;180.2;18
28-10-2019;180.2;186.9;176.8;179;142
29-10-2019;178.9;190.2;177.6;186.9;132
30-10-2019;186.8;189.1;176.4;179.3;131
31-10-2019;179.2;182.5;174.2;178.4;113
1-11-2019;178.2;181.7;174.3;181.4;78
3-11-2019;176.7;179.6;175.4;177.5;10
4-11-2019;177.5;186.5;176.4;183.1;87
5-11-2019;183.2;189.4;178.9;184.7;108
6-11-2019;185.9;191.5;183.8;187.1;89
7-11-2019;188.2;189.3;180.7;183.4;85
8-11-2019;182.3;185;177;179.7;85
10-11-2019;185.5;187.2;184.7;185.8;9
11-11-2019;184.8;187;179.7;180.5;79
12-11-2019;180.5;184.2;178.3;183.9;71
13-11-2019;182.8;186.3;181;184.8;60
14-11-2019;184.7;185.4;178.9;180.4;71
15-11-2019;180.4;183.4;173.6;176.4;72
17-11-2019;180.1;182.1;179.4;179.7;9
18-11-2019;179.7;180.9;171.3;173.8;78
19-11-2019;173.8;175;168.5;172.7;82
20-11-2019;171.6;174.2;169.1;170.2;67
21-11-2019;170.2;172.4;152.8;156.7;94
22-11-2019;156.7;159.9;135;149.6;180
24-11-2019;140.5;141.6;134.9;136.9;16
25-11-2019;137;148.6;127.8;142.9;173
26-11-2019;143;146.9;139.7;143.6;99
27-11-2019;143.7;152.8;136.9;149.9;143
28-11-2019;150;151.8;145.3;146.9;100
29-11-2019;146.9;154.7;146.4;150.2;103
1-12-2019;146;149.1;145.7;147.9;12
2-12-2019;146.8;148.5;142.8;145.8;76
3-12-2019;144.7;147;141.9;143.2;65
4-12-2019;143.2;149.3;139.4;142.4;100
5-12-2019;142.5;145.9;139.9;144;81
6-12-2019;144;146.7;142.2;144.9;54
8-12-2019;147.1;148.5;146.5;146.5;6
9-12-2019;146.5;148.4;142.6;144.2;69
10-12-2019;143.1;145;139.9;141.4;57
11-12-2019;141.4;143.3;137.9;139.1;55
12-12-2019;139.1;142.7;135.4;140.6;61
13-12-2019;140.6;142;139.2;141.4;47
15-12-2019;138.8;139.8;138;138.2;6
16-12-2019;138.2;139.5;126.3;129.4;79
17-12-2019;129.3;129.5;116.7;118.8;82
18-12-2019;118.9;131.6;113.3;129.9;127
19-12-2019;130;131;121.9;124;84
20-12-2019;124;126.2;121.9;125.4;46
22-12-2019;131.5;131.5;129.8;130.7;6
23-12-2019;130.7;133.5;124.6;126.2;74
24-12-2019;126.3;128;125.1;126.4;62
25-12-2019;124;124;123.1;123.3;7
26-12-2019;123.4;130.5;122.6;123.9;80
27-12-2019;123.8;125.1;120.6;123.9;65
29-12-2019;133.3;134.1;131.2;132.7;6
30-12-2019;132.8;134.3;128.4;129.5;64
31-12-2019;129.4;131.7;126.1;126.7;67
1-1-2020;130;130.3;127.8;128.5;6
2-1-2020;128.6;128.6;124.4;125.2;62
3-1-2020;125.1;133.2;123.9;131.8;75
5-1-2020;136.3;136.3;132.5;133.7;9
6-1-2020;133.7;142.9;133.2;142.7;83
7-1-2020;142.8;143.7;137.4;141.4;100
8-1-2020;141.4;146.4;135.5;139;113
9-1-2020;139.1;139.9;133.8;136.2;85
10-1-2020;136.1;143.6;133.7;141.9;76
12-1-2020;143.1;145;142.8;144.9;7
13-1-2020;145;145.4;140.5;142;52
14-1-2020;141.9;169.1;141.9;164.3;206
15-1-2020;164.2;170.2;157.5;164.7;205
16-1-2020;164.7;165.7;157;162.5;158
17-1-2020;162.6;172.6;160.5;167.3;172
19-1-2020;162.8;165.8;161.9;165.2;19
20-1-2020;165.1;167.7;159.5;165;104
21-1-2020;164.9;168.3;163.1;167.7;89
22-1-2020;167.7;169.4;164.1;166.1;88
23-1-2020;166;166.2;157.2;160.9;137
24-1-2020;160.8;162.7;153.6;161.5;112
26-1-2020;164.8;166;164.6;165.9;12
27-1-2020;166;170.2;163.3;168.2;147
28-1-2020;168.3;174.8;168.3;174.4;142
29-1-2020;174.3;176.8;171.6;171.8;120
30-1-2020;171.7;185.2;168.9;182.9;155
31-1-2020;183;183.9;173.5;178.8;115
2-2-2020;190.5;190.7;186.4;186.6;15
3-2-2020;186.7;193.5;184.9;187.9;132
4-2-2020;188;189.9;182.8;186.6;130
5-2-2020;186.7;206.2;186;202.3;157
6-2-2020;202.3;214.6;199.6;211.3;215
7-2-2020;211.4;222.8;211.3;217.3;195
9-2-2020;223.1;227.5;223;227.2;14
10-2-2020;227.3;228;215.3;221.3;197
11-2-2020;221.4;238.1;216.3;236.3;205
12-2-2020;236.4;274.3;236.3;264.6;294
13-2-2020;264.7;276.3;254.8;266.8;330
14-2-2020;266.9;284.2;258.6;281.6;242
16-2-2020;251.2;261.9;249.1;257.6;31
17-2-2020;257.5;267.1;241.1;266.4;362
18-2-2020;266.5;284.9;257.7;281.8;309
19-2-2020;281.9;285.4;250.2;257;323
